Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,ACS18_5yr_B01001001,ACS18_5yr_B01001002,ACS18_5yr_B01001003,ACS18_5yr_B01001004,ACS18_5yr_B01001005,ACS18_5yr_B01001006,ACS18_5yr_B01001007,ACS18_5yr_B01001008,ACS18_5yr_B01001009,ACS18_5yr_B01001010,ACS18_5yr_B01001011,ACS18_5yr_B01001012,ACS18_5yr_B01001013,ACS18_5yr_B01001014,ACS18_5yr_B01001015,ACS18_5yr_B01001016,ACS18_5yr_B01001017,ACS18_5yr_B01001018,ACS18_5yr_B01001019,ACS18_5yr_B01001020,ACS18_5yr_B01001021,ACS18_5yr_B01001022,ACS18_5yr_B01001023,ACS18_5yr_B01001024,ACS18_5yr_B01001025,ACS18_5yr_B01001026,ACS18_5yr_B01001027,ACS18_5yr_B01001028,ACS18_5yr_B01001029,ACS18_5yr_B01001030,ACS18_5yr_B01001031,ACS18_5yr_B01001032,ACS18_5yr_B01001033,ACS18_5yr_B01001034,ACS18_5yr_B01001035,ACS18_5yr_B01001036,ACS18_5yr_B01001037,ACS18_5yr_B01001038,ACS18_5yr_B01001039,ACS18_5yr_B01001040,ACS18_5yr_B01001041,ACS18_5yr_B01001042,ACS18_5yr_B01001043,ACS18_5yr_B01001044,ACS18_5yr_B01001045,ACS18_5yr_B01001046,ACS18_5yr_B01001047,ACS18_5yr_B01001048,ACS18_5yr_B01001049,ACS18_5yr_B01001001s,ACS18_5yr_B01001002s,ACS18_5yr_B01001003s,ACS18_5yr_B01001004s,ACS18_5yr_B01001005s,ACS18_5yr_B01001006s,ACS18_5yr_B01001007s,ACS18_5yr_B01001008s,ACS18_5yr_B01001009s,ACS18_5yr_B01001010s,ACS18_5yr_B01001011s,ACS18_5yr_B01001012s,ACS18_5yr_B01001013s,ACS18_5yr_B01001014s,ACS18_5yr_B01001015s,ACS18_5yr_B01001016s,ACS18_5yr_B01001017s,ACS18_5yr_B01001018s,ACS18_5yr_B01001019s,ACS18_5yr_B01001020s,ACS18_5yr_B01001021s,ACS18_5yr_B01001022s,ACS18_5yr_B01001023s,ACS18_5yr_B01001024s,ACS18_5yr_B01001025s,ACS18_5yr_B01001026s,ACS18_5yr_B01001027s,ACS18_5yr_B01001028s,ACS18_5yr_B01001029s,ACS18_5yr_B01001030s,ACS18_5yr_B01001031s,ACS18_5yr_B01001032s,ACS18_5yr_B01001033s,ACS18_5yr_B01001034s,ACS18_5yr_B01001035s,ACS18_5yr_B01001036s,ACS18_5yr_B01001037s,ACS18_5yr_B01001038s,ACS18_5yr_B01001039s,ACS18_5yr_B01001040s,ACS18_5yr_B01001041s,ACS18_5yr_B01001042s,ACS18_5yr_B01001043s,ACS18_5yr_B01001044s,ACS18_5yr_B01001045s,ACS18_5yr_B01001046s,ACS18_5yr_B01001047s,ACS18_5yr_B01001048s,ACS18_5yr_B01001049s
"08001","05000US08001","Adams County","Adams County, Colorado","co","050","00","ACSSF","0000013",,,,,"08","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497115,250704,18709,20071,19442,11062,5991,2748,3609,10125,20264,21112,19139,18460,16442,15392,14992,4590,6592,3384,5208,5791,3510,2160,1911,246411,17969,17901,19752,10538,5604,3240,2751,9464,19298,20106,18830,16257,15802,15041,14778,4832,7031,3959,5476,6748,4808,3114,3112,0,86.06061,89.69697,441.8182,442.4243,31.51515,58.78788,264.8485,304.2424,309.0909,26.06061,47.27273,404.2424,405.4546,35.15152,6.666667,333.3333,247.2727,277.5757,207.8788,216.9697,275.1515,162.4242,133.9394,152.1212,86.06061,38.78788,449.0909,446.6667,34.54546,77.57576,238.7879,256.9697,284.2424,69.09091,66.06061,415.1515,424.8485,1.818182,2.424242,321.2121,226.0606,247.2727,205.4545,270.9091,262.4243,197.5758,178.7879,204.2424
"08003","05000US08003","Alamosa County","Alamosa County, Colorado","co","050","00","ACSSF","0000014",,,,,"08","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16444,8242,572,608,560,277,544,274,105,577,664,461,586,392,352,412,449,187,235,151,214,249,220,108,45,8202,586,477,556,296,411,316,227,532,540,554,287,537,371,418,527,141,300,182,189,270,203,169,113,0,70.30303,16.9697,113.9394,111.5152,1.212121,98.78788,80,43.0303,107.8788,46.06061,72.72727,90.90909,78.18182,4.242424,3.030303,60,45.45454,52.72727,27.27273,39.39394,41.21212,32.72727,30.90909,18.78788,70.30303,41.81818,84.24242,87.87878,10.90909,81.21212,141.8182,78.78788,120,10.30303,47.27273,57.57576,57.57576,6.666667,7.272727,53.93939,42.42424,59.39394,31.51515,34.54546,35.15152,36.36364,38.18182,27.87879
"08005","05000US08005","Arapahoe County","Arapahoe County, Colorado","co","050","00","ACSSF","0000015",,,,,"08","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636671,314672,20718,22437,22356,13164,7219,3339,3584,13118,24576,25012,22504,22963,21389,20330,19862,7373,10016,6018,7886,8747,5737,3349,2975,321999,19792,21123,21279,12591,6376,3151,3228,13003,24036,24439,22083,23125,21725,21269,20980,8381,11503,6355,8957,10883,7182,4630,5908,0,78.18182,52.12121,440.606,433.9394,45.45454,36.36364,210.303,226.0606,287.2727,18.78788,23.63636,455.7576,445.4546,38.18182,23.0303,372.7273,261.8182,306.6667,253.3333,254.5455,287.8788,170.303,150.303,160,78.18182,61.81818,452.1212,442.4243,40.60606,22.42424,200.6061,253.9394,296.9697,24.84848,46.06061,487.2727,484.8485,29.09091,11.51515,415.7576,291.5151,321.2121,268.4849,287.2727,305.4546,226.0606,238.1818,218.7879
"08007","05000US08007","Archuleta County","Archuleta County, Colorado","co","050","00","ACSSF","0000016",,,,,"08","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12908,6546,328,337,335,229,113,115,34,241,279,361,253,406,341,393,454,270,463,314,263,565,255,110,87,6362,251,291,346,92,120,0,137,142,255,372,249,384,360,423,658,226,482,278,414,421,242,113,106,0,49.09091,23.63636,54.54546,55.15152,35.75758,46.66667,56.9697,20,62.42424,32.12121,52.12121,61.81818,67.87878,40.60606,27.27273,57.57576,50.90909,56.9697,52.72727,52.12121,58.18182,48.48485,35.15152,38.18182,49.09091,21.81818,46.66667,44.24242,26.06061,38.78788,11.51515,36.36364,36.36364,27.87879,43.0303,56.36364,50.90909,34.54546,21.21212,67.87878,52.72727,73.33334,49.09091,64.84849,60,41.81818,36.36364,29.09091
"08009","05000US08009","Baca County","Baca County, Colorado","co","050","00","ACSSF","0000017",,,,,"08","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3563,1755,100,131,93,47,28,36,5,48,80,109,84,116,80,121,134,50,87,36,73,88,89,75,45,1808,87,88,120,73,22,15,2,56,86,97,67,110,88,98,140,57,85,46,65,131,88,78,109,0,20.60606,10.30303,12.12121,12.72727,13.33333,12.72727,13.93939,4.848485,12.12121,9.090909,15.75758,15.75758,23.63636,9.090909,11.51515,21.21212,10.90909,13.93939,12.12121,13.33333,10.90909,13.93939,15.15152,9.090909,20.60606,4.848485,13.33333,15.15152,10.30303,9.69697,9.090909,1.818182,9.69697,12.12121,7.272727,16.9697,18.78788,6.666667,6.666667,16.36364,10.90909,16.36364,9.69697,13.33333,19.39394,18.78788,15.15152,22.42424
"08011","05000US08011","Bent County","Bent County, Colorado","co","050","00","ACSSF","0000018",,,,,"08","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5809,3790,109,141,105,73,43,17,47,185,423,453,328,398,182,343,220,131,74,64,144,127,85,42,56,2019,100,99,181,86,31,7,6,40,111,128,69,133,122,103,196,83,37,47,101,116,61,62,100,0,31.51515,26.06061,23.0303,23.0303,20,24.84848,13.93939,16.36364,49.09091,64.24242,44.84848,52.72727,64.24242,36.36364,72.72727,35.75758,29.69697,21.21212,18.78788,21.21212,27.87879,16.36364,11.51515,20.60606,31.51515,25.45455,19.39394,19.39394,20.60606,15.75758,5.454545,5.454545,16.36364,23.0303,16.36364,18.18182,23.0303,20.60606,5.454545,24.24242,20.60606,13.33333,14.54545,19.39394,22.42424,15.75758,17.57576,28.48485
"08013","05000US08013","Boulder County","Boulder County, Colorado","co","050","00","ACSSF","0000019",,,,,"08","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321030,161355,7754,9176,9477,5788,7362,3953,4135,9791,12861,10742,10332,10008,10675,10284,10252,3934,5712,3374,4382,4711,2961,1755,1936,159675,7316,8774,9138,5502,7251,3742,3888,8133,10743,9760,10039,10232,10649,10700,10062,4560,6237,3641,4303,5495,3602,2706,3202,0,77.57576,33.93939,272.1212,271.5151,41.21212,65.45454,295.1515,324.2424,440,60.60606,60.60606,314.5454,300.606,75.75758,60.60606,269.0909,228.4848,238.7879,163.6364,189.697,184.8485,125.4545,114.5455,146.6667,77.57576,31.51515,262.4243,263.6364,34.54546,39.39394,349.697,270.303,392.7273,99.39394,73.33334,289.0909,295.1515,58.18182,61.81818,276.9697,206.6667,234.5455,194.5455,203.6364,216.3636,180,164.2424,156.3636
"08014","05000US08014","Broomfield County","Broomfield County, Colorado","co","050","00","ACSSF","0000020",,,,,"08","014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66120,32789,1869,2218,2406,1421,634,292,361,1193,2648,2563,2292,2669,2511,2232,2330,629,859,597,797,977,623,360,308,33331,1865,2328,2207,1378,482,144,353,1511,2314,2290,2605,2299,2519,2160,2329,699,1011,874,712,1281,771,604,595,0,82.42424,27.27273,129.697,134.5455,30.90909,56.36364,72.12122,78.78788,86.06061,43.63636,54.54546,140,142.4242,55.15152,56.9697,98.78788,73.33334,76.9697,73.33334,76.9697,93.93939,47.87879,42.42424,47.87879,82.42424,15.75758,120,118.7879,27.87879,34.54546,31.51515,81.81818,110.303,24.24242,31.51515,110.9091,114.5455,36.36364,35.15152,125.4545,86.06061,112.1212,86.66666,87.87878,99.39394,66.66666,81.81818,68.48485
"08015","05000US08015","Chaffee County","Chaffee County, Colorado","co","050","00","ACSSF","0000021",,,,,"08","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19164,10268,315,468,548,250,272,38,79,244,753,688,672,598,663,816,834,230,543,322,350,731,318,256,280,8896,320,252,601,225,123,59,69,195,439,477,330,623,466,616,639,526,523,368,389,732,458,175,291,0,83.63636,21.21212,74.54546,103.6364,35.15152,61.21212,21.81818,39.39394,62.42424,64.84849,50.30303,92.12122,66.06061,64.84849,69.69697,107.2727,44.84848,89.69697,52.12121,60.60606,63.0303,61.81818,50.90909,53.93939,83.63636,26.66667,61.21212,61.21212,11.51515,44.84848,40.60606,44.24242,53.33333,42.42424,30.30303,56.9697,66.66666,10.90909,10.90909,54.54546,85.45454,72.72727,56.36364,53.33333,70.90909,69.69697,37.57576,60
"08017","05000US08017","Cheyenne County","Cheyenne County, Colorado","co","050","00","ACSSF","0000022",,,,,"08","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039,964,91,79,76,71,11,3,1,9,43,66,55,70,51,85,104,18,52,6,20,5,18,21,9,1075,125,87,100,63,15,14,15,14,31,65,76,31,67,73,90,12,31,16,10,23,30,29,58,103.0303,66.06061,27.87879,21.21212,18.78788,19.39394,7.878788,2.424242,1.818182,6.666667,18.78788,19.39394,11.51515,20.60606,14.54545,18.78788,21.81818,8.484848,14.54545,3.030303,6.666667,3.030303,4.848485,11.51515,4.848485,70.90909,38.78788,22.42424,22.42424,18.78788,10.90909,7.878788,10.30303,7.878788,12.12121,20.60606,18.18182,9.090909,13.93939,14.54545,18.78788,4.242424,11.51515,6.060606,4.242424,8.484848,7.878788,12.12121,18.18182
